count,run_id,total_seconds,workers,ops_per_sec,latency_p50_ms,latency_p99_ms,latency_p95_ms,phase,latency_mean_ms,operation,backend
200,20260429-053536-d05af1d5,0.109095,1,1833.263,0.488043,0.923274,0.790381,mdtest_tree,0.538818,create,ceph-libcephfs
200,20260429-053536-d05af1d5,0.009166,1,21819.763,0.035048,0.067506,0.050354,mdtest_tree,0.042477,stat,ceph-libcephfs
200,20260429-053536-d05af1d5,0.017531,1,11408.416,0.030994,0.126133,0.057948,mdtest_tree,0.084126,read,ceph-libcephfs
200,20260429-053536-d05af1d5,0.089161,1,2243.129,0.426531,0.617657,0.517166,mdtest_tree,0.440038,delete,ceph-libcephfs
200,20260429-053536-d05af1d5,0.196994,1,1015.26,0.773072,3.193758,2.041399,sprite_lfs_smallfile,0.974432,create,ceph-libcephfs
200,20260429-053536-d05af1d5,0.008407,1,23790.046,0.035048,0.11431,0.056136,sprite_lfs_smallfile,0.038748,stat,ceph-libcephfs
200,20260429-053536-d05af1d5,0.028818,1,6940.075,0.106454,0.405202,0.274944,sprite_lfs_smallfile,0.137349,read,ceph-libcephfs
200,20260429-053536-d05af1d5,0.092893,1,2153.017,0.447392,0.602291,0.568926,sprite_lfs_smallfile,0.457981,delete,ceph-libcephfs
250,20260429-053536-d05af1d5,0.167225,1,1494.993,0.642538,1.106243,0.887954,hotdirs_zipf,0.661184,skewed_create,ceph-libcephfs
250,20260429-053536-d05af1d5,0.010204,1,24500.012,0.035048,0.090182,0.051022,hotdirs_zipf,0.037912,skewed_stat,ceph-libcephfs
250,20260429-053536-d05af1d5,0.132534,1,1886.308,0.473976,1.711709,0.726068,hotdirs_zipf,0.521614,skewed_delete,ceph-libcephfs
