workload,variant,elapsed_s,ops,phase_s,ops_per_s,mean_ms,p95_ms,max_p99_ms,pins,pin_failures,md_bytes_used_delta,md_objects_delta,md_stored_delta,data_bytes_used_delta,data_objects_delta,segments_created,logical_records,live_records,speedup_vs_default,md_bytes_vs_default,data_objects_vs_default
sprite_lfs_smallfile,default,57.871,15000,57.753255,259.726,24.135,47.612,245.388,0,0,11796480,4,3942336,983040000,5000,0,0,0,1.0,1.0,1.0
sprite_lfs_smallfile,static_top,69.24,15000,69.022831,217.319,33.038,74.023,235.066,32,0,50593792,7,16826816,983040000,5000,0,0,0,0.837,4.289,1.0
sprite_lfs_smallfile,prepin_hotset,65.728,15000,65.563796,228.785,28.13,76.44,254.477,1,0,0,16,12800,983040000,5000,0,0,0,0.881,0.0,1.0
sprite_lfs_smallfile,predictive_safe,51.327,15000,51.15857,293.206,24.928,46.376,215.306,0,0,589824,0,191712,983040000,5000,0,0,0,1.129,0.05,1.0
sprite_lfs_smallfile,append_segments,85.626,15000,85.565741,175.304,45.343,62.244,159.444,0,0,21299200,1,7121376,21037056,3,1,5000,5000,0.675,1.806,0.001
hotdirs_zipf,default,34.89,10000,34.632297,288.748,27.116,46.637,128.11,0,0,13172736,2,4390368,983040000,5000,0,0,0,1.0,1.0,1.0
hotdirs_zipf,static_top,110.481,10000,110.035089,90.88,87.122,178.401,440.666,64,0,-34340864,-3,-11429888,983040000,5000,0,0,0,0.315,-2.607,1.0
hotdirs_zipf,prepin_hotset,97.344,10000,95.465656,104.75,75.602,188.12,428.514,1,0,22609920,1,7491936,983040000,5000,0,0,0,0.363,1.716,1.0
hotdirs_zipf,predictive_safe,72.172,10000,71.952694,138.98,56.281,170.375,460.522,1,0,-2752512,0,-889248,983040000,5000,0,0,0,0.481,-0.209,1.0
hotdirs_zipf,append_segments,52.708,10000,52.662188,189.89,41.854,60.348,153.957,0,0,12713984,1,4241216,12517376,2,1,5000,5000,0.658,0.965,0.0
