workload,policy,phase,operation,count,total_seconds,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
mdtest_tree,none,mdtest_tree,create,1200,6.136746,195.543,19.921064,12.548087,62.022095,179.981681
mdtest_tree,none,mdtest_tree,delete,1200,16.148781,74.309,53.801528,10.995058,178.780759,307.35261
mdtest_tree,none,mdtest_tree,read,1200,3.806676,315.236,12.581531,12.066304,19.981094,22.998619
mdtest_tree,none,mdtest_tree,stat,1200,2.687268,446.55,8.792748,7.640291,15.185176,25.757693
mdtest_tree,static,mdtest_tree,create,1200,4.053907,296.011,13.379648,12.62499,21.495786,35.56116
mdtest_tree,static,mdtest_tree,delete,1200,30.151081,39.8,91.855509,58.495078,203.223624,425.452969
mdtest_tree,static,mdtest_tree,read,1200,3.921546,306.002,12.609927,11.847231,19.656028,24.985206
mdtest_tree,static,mdtest_tree,stat,1200,3.342645,358.997,10.928222,7.566423,15.144631,22.831991
mdtest_tree,predictive,mdtest_tree,create,1200,4.35504,275.543,14.375628,12.737569,19.566134,25.631485
mdtest_tree,predictive,mdtest_tree,delete,1200,9.782313,122.67,32.5847,11.113137,180.475514,265.832702
mdtest_tree,predictive,mdtest_tree,read,1200,4.359607,275.254,14.194247,12.038353,20.209339,63.892881
mdtest_tree,predictive,mdtest_tree,stat,1200,2.609565,459.847,8.58083,7.979806,14.906757,18.343448
mdtest_tree,LLM_policy,mdtest_tree,create,1200,7.288983,164.632,23.840278,13.162617,95.262169,204.275696
mdtest_tree,LLM_policy,mdtest_tree,delete,1200,9.376259,127.983,31.229931,11.26481,184.232928,255.875616
mdtest_tree,LLM_policy,mdtest_tree,read,1200,3.885859,308.812,12.847783,12.516434,20.090162,24.101966
mdtest_tree,LLM_policy,mdtest_tree,stat,1200,2.794791,429.37,9.19759,8.557523,15.120341,20.034906
sprite_lfs_smallfile,none,sprite_lfs_smallfile,create,1800,6.925307,259.916,15.319948,14.69707,21.939249,28.377939
sprite_lfs_smallfile,none,sprite_lfs_smallfile,delete,1800,39.181968,45.939,73.171304,11.501087,219.066259,275.090223
sprite_lfs_smallfile,none,sprite_lfs_smallfile,read,1800,6.661078,270.227,14.369556,13.583123,21.298017,25.962894
sprite_lfs_smallfile,none,sprite_lfs_smallfile,stat,1800,4.088427,440.267,8.222809,5.107671,13.602136,23.536829
sprite_lfs_smallfile,static,sprite_lfs_smallfile,create,1800,43.577275,41.306,55.576509,15.476812,209.618154,259.872104
sprite_lfs_smallfile,static,sprite_lfs_smallfile,delete,1800,59.728374,30.136,85.1088,98.891143,205.505467,238.786659
sprite_lfs_smallfile,static,sprite_lfs_smallfile,read,1800,6.232563,288.806,13.650404,13.370859,20.407668,24.875462
sprite_lfs_smallfile,static,sprite_lfs_smallfile,stat,1800,3.977704,452.522,8.20379,7.145871,14.621537,19.575713
sprite_lfs_smallfile,predictive,sprite_lfs_smallfile,create,1800,7.461498,241.238,16.450359,15.288937,22.439842,29.360361
sprite_lfs_smallfile,predictive,sprite_lfs_smallfile,delete,1800,20.894085,86.149,23.318183,8.352886,157.373423,251.710336
sprite_lfs_smallfile,predictive,sprite_lfs_smallfile,read,1800,6.212309,289.747,13.68326,13.158669,20.460428,26.12564
sprite_lfs_smallfile,predictive,sprite_lfs_smallfile,stat,1800,3.616937,497.659,7.971793,7.201906,14.872363,22.066971
sprite_lfs_smallfile,LLM_policy,sprite_lfs_smallfile,create,1800,23.931504,75.215,24.285558,13.636307,104.626884,190.955109
sprite_lfs_smallfile,LLM_policy,sprite_lfs_smallfile,delete,1800,46.371352,38.817,61.451231,7.01014,215.47751,269.525808
sprite_lfs_smallfile,LLM_policy,sprite_lfs_smallfile,read,1800,6.44598,279.244,14.064833,13.69637,21.329344,25.646365
sprite_lfs_smallfile,LLM_policy,sprite_lfs_smallfile,stat,1800,4.129867,435.849,8.686376,8.171704,14.768295,18.464544
hotdirs_zipf,none,hotdirs_zipf,skewed_create,1800,7.640918,235.574,16.831656,15.853459,22.386187,32.630558
hotdirs_zipf,none,hotdirs_zipf,skewed_delete,1800,5.048639,356.532,11.102608,10.530425,15.696183,32.950377
hotdirs_zipf,none,hotdirs_zipf,skewed_stat,1800,3.354048,536.665,7.362512,6.71194,13.526322,18.308926
hotdirs_zipf,static,hotdirs_zipf,skewed_create,1800,10.058415,178.955,21.503823,15.719643,27.855427,210.630365
hotdirs_zipf,static,hotdirs_zipf,skewed_delete,1800,114.73327,15.689,252.149751,246.48096,508.533528,602.395461
hotdirs_zipf,static,hotdirs_zipf,skewed_stat,1800,5.391106,333.883,11.806198,8.851743,15.658258,100.565597
hotdirs_zipf,predictive,hotdirs_zipf,skewed_create,1800,45.700066,39.387,98.363667,18.149638,294.616784,444.321972
hotdirs_zipf,predictive,hotdirs_zipf,skewed_delete,1800,136.1451,13.221,299.852573,324.786315,585.953007,685.818019
hotdirs_zipf,predictive,hotdirs_zipf,skewed_stat,1800,4.370153,411.885,9.623409,9.040733,15.806511,19.376796
hotdirs_zipf,LLM_policy,hotdirs_zipf,skewed_create,1800,9.44556,190.566,20.865417,17.03635,28.530272,174.543787
hotdirs_zipf,LLM_policy,hotdirs_zipf,skewed_delete,1800,138.892862,12.96,305.03302,307.443292,651.150062,769.118538
hotdirs_zipf,LLM_policy,hotdirs_zipf,skewed_stat,1800,5.510947,326.623,12.187354,9.454396,17.288024,57.20714
filebench_varmail_like,none,filebench_varmail_like,cleanup_delete,1246,44.091497,28.259,35.377188,3.31269,116.612217,171.759096
filebench_varmail_like,none,filebench_varmail_like,initial_create,600,2.899738,206.915,4.823504,4.63871,5.736623,7.189822
filebench_varmail_like,none,filebench_varmail_like,mixed_mail_ops,2400,28.895551,83.058,12.02871,4.301521,73.128158,148.295763
filebench_varmail_like,static,filebench_varmail_like,cleanup_delete,1246,94.815394,13.141,76.086215,8.765833,115.452365,1085.311239
filebench_varmail_like,static,filebench_varmail_like,initial_create,600,2.925407,205.1,4.867431,4.674438,5.760338,6.751891
filebench_varmail_like,static,filebench_varmail_like,mixed_mail_ops,2400,149.572224,16.046,62.310344,6.978662,140.590872,1697.201177
filebench_varmail_like,predictive,filebench_varmail_like,cleanup_delete,1246,42.273085,29.475,33.917819,3.334517,137.02077,213.078663
filebench_varmail_like,predictive,filebench_varmail_like,initial_create,600,3.000005,200.0,4.990757,4.774764,5.957399,7.248779
filebench_varmail_like,predictive,filebench_varmail_like,mixed_mail_ops,2400,11.489698,208.883,4.775357,4.305926,5.514285,12.862339
filebench_varmail_like,LLM_policy,filebench_varmail_like,cleanup_delete,1246,56.727124,21.965,45.517902,5.987287,148.736488,213.915392
filebench_varmail_like,LLM_policy,filebench_varmail_like,initial_create,600,3.015551,198.969,5.016887,4.768356,5.963909,7.295777
filebench_varmail_like,LLM_policy,filebench_varmail_like,mixed_mail_ops,2400,62.800916,38.216,26.155235,4.58337,117.670751,200.569356
