hotcold_cold70_access10__oracle__r1	hotcold_cold70_access10	oracle	1	8001	63
hotcold_cold90_access10__oracle__r1	hotcold_cold90_access10	oracle	1	8001	17
ycsb_zipf_hotdirs__native__r2	ycsb_zipf_hotdirs	native	2	8002	31
ior_mdtest_tree__native__r0	ior_mdtest_tree	native	0	8000	15
hotcold_cold70_access10__predictor__r2	hotcold_cold70_access10	predictor	2	8002	18
hotcold_cold90_access10__native__r0	hotcold_cold90_access10	native	0	8000	105
hotcold_cold90_access20__oracle__r2	hotcold_cold90_access20	oracle	2	8002	79
ior_mdtest_tree__predictor__r0	ior_mdtest_tree	predictor	0	8000	2
ior_mdtest_tree__oracle__r2	ior_mdtest_tree	oracle	2	8002	2
hotcold_cold90_access20__oracle__r1	hotcold_cold90_access20	oracle	1	8001	14
ior_mdtest_tree__native__r2	ior_mdtest_tree	native	2	8002	14
hotcold_cold90_access20__native__r1	hotcold_cold90_access20	native	1	8001	109
hotcold_cold70_access10__oracle__r0	hotcold_cold70_access10	oracle	0	8000	19
hotcold_cold90_access20__predictor__r1	hotcold_cold90_access20	predictor	1	8001	45
filebench_varmail_like__native__r0	filebench_varmail_like	native	0	8000	258
filebench_varmail_like__native__r2	filebench_varmail_like	native	2	8002	126
hotcold_cold90_access10__predictor__r2	hotcold_cold90_access10	predictor	2	8002	25
ior_mdtest_tree__native__r1	ior_mdtest_tree	native	1	8001	7
hotcold_cold90_access10__native__r1	hotcold_cold90_access10	native	1	8001	64
ycsb_zipf_hotdirs__native__r0	ycsb_zipf_hotdirs	native	0	8000	34
filebench_varmail_like__predictor__r2	filebench_varmail_like	predictor	2	8002	55
hotcold_cold90_access20__predictor__r2	hotcold_cold90_access20	predictor	2	8002	17
ycsb_zipf_hotdirs__predictor__r2	ycsb_zipf_hotdirs	predictor	2	8002	2
hotcold_cold90_access20__oracle__r0	hotcold_cold90_access20	oracle	0	8000	100
ycsb_zipf_hotdirs__oracle__r2	ycsb_zipf_hotdirs	oracle	2	8002	24
hotcold_cold90_access10__native__r2	hotcold_cold90_access10	native	2	8002	64
hotcold_cold90_access10__predictor__r1	hotcold_cold90_access10	predictor	1	8001	18
ior_mdtest_tree__oracle__r1	ior_mdtest_tree	oracle	1	8001	2
ycsb_zipf_hotdirs__predictor__r0	ycsb_zipf_hotdirs	predictor	0	8000	2
filebench_varmail_like__predictor__r0	filebench_varmail_like	predictor	0	8000	38
hotcold_cold70_access10__native__r0	hotcold_cold70_access10	native	0	8000	60
ycsb_zipf_hotdirs__predictor__r1	ycsb_zipf_hotdirs	predictor	1	8001	2
ycsb_zipf_hotdirs__oracle__r0	ycsb_zipf_hotdirs	oracle	0	8000	25
ior_mdtest_tree__predictor__r1	ior_mdtest_tree	predictor	1	8001	2
filebench_varmail_like__oracle__r0	filebench_varmail_like	oracle	0	8000	10
filebench_varmail_like__oracle__r2	filebench_varmail_like	oracle	2	8002	11
ior_mdtest_tree__predictor__r2	ior_mdtest_tree	predictor	2	8002	3
hotcold_cold70_access10__native__r2	hotcold_cold70_access10	native	2	8002	80
hotcold_cold70_access10__oracle__r2	hotcold_cold70_access10	oracle	2	8002	22
ycsb_zipf_hotdirs__oracle__r1	ycsb_zipf_hotdirs	oracle	1	8001	23
ycsb_zipf_hotdirs__native__r1	ycsb_zipf_hotdirs	native	1	8001	26
ior_mdtest_tree__oracle__r0	ior_mdtest_tree	oracle	0	8000	2
hotcold_cold70_access10__predictor__r1	hotcold_cold70_access10	predictor	1	8001	16
hotcold_cold90_access10__oracle__r0	hotcold_cold90_access10	oracle	0	8000	31
filebench_varmail_like__predictor__r1	filebench_varmail_like	predictor	1	8001	42
hotcold_cold70_access10__predictor__r0	hotcold_cold70_access10	predictor	0	8000	18
hotcold_cold90_access10__oracle__r2	hotcold_cold90_access10	oracle	2	8002	27
hotcold_cold90_access20__predictor__r0	hotcold_cold90_access20	predictor	0	8000	24
hotcold_cold70_access10__native__r1	hotcold_cold70_access10	native	1	8001	100
hotcold_cold90_access10__predictor__r0	hotcold_cold90_access10	predictor	0	8000	21
filebench_varmail_like__oracle__r1	filebench_varmail_like	oracle	1	8001	11
filebench_varmail_like__native__r1	filebench_varmail_like	native	1	8001	127
hotcold_cold90_access20__native__r2	hotcold_cold90_access20	native	2	8002	64
hotcold_cold90_access20__native__r0	hotcold_cold90_access20	native	0	8000	60
