scenario,variant,operation,mean_ops_per_sec,mean_latency_p95_ms,runs
cold70_access0,hybrid,bulk_create,909.108333,3.002348,3
cold70_access0,hybrid,cleanup_delete,443.749,58.750065,3
cold70_access0,hybrid,oracle_access_read,5555.578667,1.891183,3
cold70_access0,hybrid,oracle_access_stat,8453.596333,1.235156,3
cold70_access0,hybrid,oracle_hot_churn_create,82.578333,153.023634,3
cold70_access0,hybrid,oracle_hot_churn_delete,123.497,109.770236,3
cold70_access0,hybrid_layout,bulk_create,582.366333,2.806495,3
cold70_access0,hybrid_layout,cleanup_delete,301.744,138.139265,3
cold70_access0,hybrid_layout,oracle_access_read,5480.974667,2.008422,3
cold70_access0,hybrid_layout,oracle_access_stat,6360.444,1.401807,3
cold70_access0,hybrid_layout,oracle_hot_churn_create,98.22,78.702636,3
cold70_access0,hybrid_layout,oracle_hot_churn_delete,64.950333,184.126129,3
cold70_access0,native,bulk_create,153.737667,5.989028,3
cold70_access0,native,cleanup_delete,308.488,105.50766,3
cold70_access0,native,oracle_access_read,5195.995,1.933477,3
cold70_access0,native,oracle_access_stat,4679.398333,1.696081,3
cold70_access0,native,oracle_hot_churn_create,65.031333,239.09075,3
cold70_access0,native,oracle_hot_churn_delete,161.434333,108.603599,3
cold70_access10,hybrid,bulk_create,399.316667,2.870337,3
cold70_access10,hybrid,cleanup_delete,2642.980333,77.623411,3
cold70_access10,hybrid,oracle_access_read,5633.761,2.085715,3
cold70_access10,hybrid,oracle_access_stat,8380.966333,1.362429,3
cold70_access10,hybrid,oracle_hot_churn_create,99.288333,2.617005,3
cold70_access10,hybrid,oracle_hot_churn_delete,367.756667,141.755907,3
cold70_access10,hybrid_layout,bulk_create,571.019667,2.964848,3
cold70_access10,hybrid_layout,cleanup_delete,617.459333,104.375471,3
cold70_access10,hybrid_layout,oracle_access_read,5415.454333,2.037409,3
cold70_access10,hybrid_layout,oracle_access_stat,7480.101,1.404325,3
cold70_access10,hybrid_layout,oracle_hot_churn_create,116.441667,107.904686,3
cold70_access10,hybrid_layout,oracle_hot_churn_delete,1506.379333,136.926082,3
cold70_access10,native,bulk_create,100.963667,288.448387,3
cold70_access10,native,cleanup_delete,375.93,88.385844,3
cold70_access10,native,oracle_access_read,4905.510333,2.186297,3
cold70_access10,native,oracle_access_stat,3396.371,1.615916,3
cold70_access10,native,oracle_hot_churn_create,68.683667,265.613066,3
cold70_access10,native,oracle_hot_churn_delete,206.176333,98.249018,3
cold70_access20,hybrid,bulk_create,625.509667,3.481608,3
cold70_access20,hybrid,cleanup_delete,5995.468,19.506216,3
cold70_access20,hybrid,oracle_access_read,5559.852,2.188582,3
cold70_access20,hybrid,oracle_access_stat,10790.88,1.182318,3
cold70_access20,hybrid,oracle_hot_churn_create,127.079333,77.272814,3
cold70_access20,hybrid,oracle_hot_churn_delete,2984.286667,38.2217,3
cold70_access20,hybrid_layout,bulk_create,534.717333,7.526683,3
cold70_access20,hybrid_layout,cleanup_delete,445.912,92.474041,3
cold70_access20,hybrid_layout,oracle_access_read,5568.232667,1.911105,3
cold70_access20,hybrid_layout,oracle_access_stat,8241.369667,1.406509,3
cold70_access20,hybrid_layout,oracle_hot_churn_create,86.135667,139.453444,3
cold70_access20,hybrid_layout,oracle_hot_churn_delete,110.707,156.370839,3
cold70_access20,native,bulk_create,122.567,4.11037,3
cold70_access20,native,cleanup_delete,345.682,117.837867,3
cold70_access20,native,oracle_access_read,5139.825,2.067051,3
cold70_access20,native,oracle_access_stat,5208.459333,1.699736,3
cold70_access20,native,oracle_hot_churn_create,61.728333,287.892653,3
cold70_access20,native,oracle_hot_churn_delete,146.704333,181.051583,3
cold90_access0,hybrid,bulk_create,3553.246333,2.583928,3
cold90_access0,hybrid,cleanup_delete,2604.972667,11.120469,3
cold90_access0,hybrid,oracle_access_read,6012.829667,1.765618,3
cold90_access0,hybrid,oracle_access_stat,8426.086667,1.219246,3
cold90_access0,hybrid,oracle_hot_churn_create,94.231333,23.130327,3
cold90_access0,hybrid,oracle_hot_churn_delete,2194.817,38.618676,3
cold90_access0,hybrid_layout,bulk_create,2531.548333,2.670953,3
cold90_access0,hybrid_layout,cleanup_delete,959.278667,25.405022,3
cold90_access0,hybrid_layout,oracle_access_read,4298.654,1.744222,3
cold90_access0,hybrid_layout,oracle_access_stat,7593.159333,1.380548,3
cold90_access0,hybrid_layout,oracle_hot_churn_create,74.333667,159.980467,3
cold90_access0,hybrid_layout,oracle_hot_churn_delete,188.553333,93.868074,3
cold90_access0,native,bulk_create,174.168667,100.052679,3
cold90_access0,native,cleanup_delete,425.629333,65.825877,3
cold90_access0,native,oracle_access_read,5203.642,2.009118,3
cold90_access0,native,oracle_access_stat,6791.827667,1.445278,3
cold90_access0,native,oracle_hot_churn_create,55.890333,276.200702,3
cold90_access0,native,oracle_hot_churn_delete,126.609,139.327651,3
cold90_access10,hybrid,bulk_create,3697.197333,2.651839,3
cold90_access10,hybrid,cleanup_delete,19187.915333,6.736027,3
cold90_access10,hybrid,oracle_access_read,6191.958333,1.99576,3
cold90_access10,hybrid,oracle_access_stat,8751.420333,1.283737,3
cold90_access10,hybrid,oracle_hot_churn_create,265.852333,65.296146,3
cold90_access10,hybrid,oracle_hot_churn_delete,1686.697667,32.260793,3
cold90_access10,hybrid_layout,bulk_create,2506.388667,2.709029,3
cold90_access10,hybrid_layout,cleanup_delete,6293.987333,12.124407,3
cold90_access10,hybrid_layout,oracle_access_read,5784.195,1.861171,3
cold90_access10,hybrid_layout,oracle_access_stat,8115.924333,1.407312,3
cold90_access10,hybrid_layout,oracle_hot_churn_create,131.291333,73.493338,3
cold90_access10,hybrid_layout,oracle_hot_churn_delete,1932.001333,31.295222,3
cold90_access10,native,bulk_create,137.257667,193.267851,3
cold90_access10,native,cleanup_delete,744.037,59.683425,3
cold90_access10,native,oracle_access_read,4987.876667,2.049517,3
cold90_access10,native,oracle_access_stat,4288.250667,1.555998,3
cold90_access10,native,oracle_hot_churn_create,73.635,246.939404,3
cold90_access10,native,oracle_hot_churn_delete,194.804667,107.490887,3
cold90_access20,hybrid,bulk_create,4169.64,2.539045,3
cold90_access20,hybrid,cleanup_delete,6667.484,37.69245,3
cold90_access20,hybrid,oracle_access_read,6360.552667,2.064,3
cold90_access20,hybrid,oracle_access_stat,9938.232333,1.254894,3
cold90_access20,hybrid,oracle_hot_churn_create,86.194,65.785579,3
cold90_access20,hybrid,oracle_hot_churn_delete,1883.32,97.755648,3
cold90_access20,hybrid_layout,bulk_create,2205.066,2.702132,3
cold90_access20,hybrid_layout,cleanup_delete,1977.153333,15.024342,3
cold90_access20,hybrid_layout,oracle_access_read,6100.410333,1.714024,3
cold90_access20,hybrid_layout,oracle_access_stat,9221.794333,1.345133,3
cold90_access20,hybrid_layout,oracle_hot_churn_create,118.962,3.301413,3
cold90_access20,hybrid_layout,oracle_hot_churn_delete,1691.526333,87.187237,3
cold90_access20,native,bulk_create,135.199667,95.217939,3
cold90_access20,native,cleanup_delete,820.415333,41.389861,3
cold90_access20,native,oracle_access_read,3609.439667,2.469612,3
cold90_access20,native,oracle_access_stat,6214.720333,1.553805,3
cold90_access20,native,oracle_hot_churn_create,65.972333,246.145702,3
cold90_access20,native,oracle_hot_churn_delete,170.957,121.119441,3
