scenario,cold_fraction,cold_access_fraction,variant,runs,mean_ops_per_sec,stdev_ops_per_sec,speedup_vs_native_mean,mean_measured_seconds,mean_elapsed_seconds,mean_namespace_entries,mean_layout_attempted,mean_layout_applied,layout_failure_runs
cold70_access0,0.7,0.0,hybrid,3,540.879881,101.174846,1.496356,45.504857,45.848228,2409.0,0.0,0.0,0
cold70_access0,0.7,0.0,hybrid_layout,3,391.022647,155.240513,1.081773,70.515358,70.998659,2409.0,6.0,6.0,0
cold70_access0,0.7,0.0,native,3,361.464694,40.716271,1.0,66.952337,67.475807,4565.0,0.0,0.0,0
cold70_access10,0.7,0.1,hybrid,3,398.065219,356.922207,1.191883,97.650638,97.908903,2409.0,0.0,0.0,0
cold70_access10,0.7,0.1,hybrid_layout,3,726.854149,548.869384,2.17634,51.932343,52.357465,2409.0,6.0,6.0,0
cold70_access10,0.7,0.1,native,3,333.97998,30.61925,1.0,72.246957,72.6844,4565.0,0.0,0.0,0
cold70_access20,0.7,0.2,hybrid,3,1090.589613,524.306032,3.426533,27.871153,28.471087,2409.0,0.0,0.0,0
cold70_access20,0.7,0.2,hybrid_layout,3,424.672002,184.701502,1.334281,62.932966,63.437705,2409.0,6.0,6.0,0
cold70_access20,0.7,0.2,native,3,318.277837,110.112966,1.0,82.997113,83.606387,4565.0,0.0,0.0,0
cold90_access0,0.9,0.0,hybrid,3,1002.161821,276.030544,2.901644,25.403633,25.755113,1809.0,0.0,0.0,0
cold90_access0,0.9,0.0,hybrid_layout,3,593.161571,117.404086,1.717431,41.438188,41.709858,1809.0,6.0,6.0,0
cold90_access0,0.9,0.0,native,3,345.377264,62.323739,1.0,71.198025,71.799858,4565.0,0.0,0.0,0
cold90_access10,0.9,0.1,hybrid,3,1969.900813,1661.701459,5.007496,25.905511,26.935352,1809.0,0.0,0.0,0
cold90_access10,0.9,0.1,hybrid_layout,3,1254.268405,650.639382,3.188356,23.230405,23.45355,1809.0,6.0,6.0,0
cold90_access10,0.9,0.1,native,3,393.390361,51.277334,1.0,61.686269,62.387568,4565.0,0.0,0.0,0
cold90_access20,0.9,0.2,hybrid,3,860.883019,494.535098,2.185571,40.454892,40.754454,1809.0,0.0,0.0,0
cold90_access20,0.9,0.2,hybrid_layout,3,888.021208,748.452355,2.254468,40.667502,41.059941,1809.0,6.0,6.0,0
cold90_access20,0.9,0.2,native,3,393.893825,25.743766,1.0,61.102546,61.639853,4565.0,0.0,0.0,0
