workload,variant,operation,count,ops_per_sec,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
sprite_lfs_smallfile,default,create,5000,159.236,32.609058,24.597767,66.986254,245.388023
sprite_lfs_smallfile,default,read,5000,322.836,23.726595,21.772473,44.639649,62.197633
sprite_lfs_smallfile,default,stat,5000,460.17,16.070135,14.675952,31.208995,44.03826
sprite_lfs_smallfile,static_top,create,5000,115.988,58.848788,30.154484,146.896196,235.066028
sprite_lfs_smallfile,static_top,read,5000,336.324,23.100304,21.150588,44.729404,60.447216
sprite_lfs_smallfile,static_top,stat,5000,452.552,17.165516,16.429392,30.44231,39.903056
sprite_lfs_smallfile,prepin_hotset,create,5000,126.587,44.360575,23.113216,153.584749,254.477484
sprite_lfs_smallfile,prepin_hotset,read,5000,325.24,23.631561,22.018246,44.164682,59.036194
sprite_lfs_smallfile,prepin_hotset,stat,5000,467.64,16.39814,15.054537,31.571151,45.720905
sprite_lfs_smallfile,predictive_safe,create,5000,202.747,34.315382,27.803496,63.396962,215.305753
sprite_lfs_smallfile,predictive_safe,read,5000,323.479,23.686957,21.892771,44.335181,59.564006
sprite_lfs_smallfile,predictive_safe,stat,5000,452.887,16.782373,15.335751,31.397216,45.301737
sprite_lfs_smallfile,append_segments,create,5000,81.072,98.030432,79.488485,121.19159,159.443687
sprite_lfs_smallfile,append_segments,read,5000,209.564,37.993153,37.007962,65.534889,80.855378
sprite_lfs_smallfile,append_segments,stat,5000,152302.018,0.005977,0.004521,0.005563,0.008463
hotdirs_zipf,default,skewed_create,5000,209.377,37.653712,34.907567,62.552461,128.109823
hotdirs_zipf,default,skewed_stat,5000,465.034,16.578295,15.288665,30.721062,44.643666
hotdirs_zipf,static_top,skewed_create,5000,50.523,156.705998,169.221279,327.15439,440.665705
hotdirs_zipf,static_top,skewed_stat,5000,451.625,17.538504,16.679094,29.646695,39.996002
hotdirs_zipf,prepin_hotset,skewed_create,5000,58.951,134.369249,69.16985,345.782175,428.514132
hotdirs_zipf,prepin_hotset,skewed_stat,5000,469.491,16.835401,16.003839,30.458207,39.235797
hotdirs_zipf,predictive_safe,skewed_create,5000,82.067,95.045414,47.844742,310.621012,460.521693
hotdirs_zipf,predictive_safe,skewed_stat,5000,453.432,17.516449,16.724871,30.128543,38.003804
hotdirs_zipf,append_segments,skewed_create,5000,95.002,83.703281,80.238135,120.691954,153.956557
hotdirs_zipf,append_segments,skewed_stat,5000,159015.083,0.00533,0.004341,0.004902,0.00829
