result_kind,workload_id,variant,operation,runs,mean_ops_per_sec,mean_latency_p95_ms,mean_latency_p99_ms
external,direct_filebench_fileserver,external,1,8,37.5,,
external,direct_filebench_fileserver,external,2,2,37.0,,
external,direct_filebench_fileserver,external,3,1,37.0,,
external,direct_filebench_fileserver,external,appendfilerand1,4,42.5,,
external,direct_filebench_fileserver,external,closefile1,4,42.5,,
external,direct_filebench_fileserver,external,closefile2,4,42.5,,
external,direct_filebench_fileserver,external,closefile3,4,42.5,,
external,direct_filebench_fileserver,external,createfile1,4,42.5,,
external,direct_filebench_fileserver,external,deletefile1,4,42.5,,
external,direct_filebench_fileserver,external,filebench_io_summary,5,458.5754,,
external,direct_filebench_fileserver,external,openfile1,4,42.5,,
external,direct_filebench_fileserver,external,openfile2,4,42.5,,
external,direct_filebench_fileserver,external,readfile1,4,42.5,,
external,direct_filebench_fileserver,external,statfile1,4,42.5,,
external,direct_filebench_fileserver,external,wrtfile1,4,42.5,,
external,direct_filebench_varmail,external,appendfilerand2,5,26.4,,
external,direct_filebench_varmail,external,appendfilerand3,5,26.4,,
external,direct_filebench_varmail,external,closefile2,5,26.4,,
external,direct_filebench_varmail,external,closefile3,5,26.2,,
external,direct_filebench_varmail,external,closefile4,5,26.2,,
external,direct_filebench_varmail,external,createfile2,5,26.4,,
external,direct_filebench_varmail,external,deletefile1,5,26.4,,
external,direct_filebench_varmail,external,filebench_io_summary,5,343.9038,,
external,direct_filebench_varmail,external,fsyncfile2,5,26.4,,
external,direct_filebench_varmail,external,fsyncfile3,5,26.2,,
external,direct_filebench_varmail,external,openfile3,5,26.4,,
external,direct_filebench_varmail,external,openfile4,5,26.2,,
external,direct_filebench_varmail,external,readfile3,5,26.4,,
external,direct_filebench_varmail,external,readfile4,5,26.2,,
external,direct_ior,external,read,5,51717.618,,
external,direct_ior,external,write,5,6851.44,,
external,direct_ior_512m,external,read,5,35600.168,,
external,direct_ior_512m,external,write,5,11178.488,,
external,direct_mdtest,external,File creation,5,155.0106,,
external,direct_mdtest,external,File read,5,4057.8614,,
external,direct_mdtest,external,File removal,5,1786.097,,
external,direct_mdtest,external,File stat,5,6861.634,,
external,direct_mdtest,external,Tree creation,5,651.4914,,
external,direct_mdtest,external,Tree removal,5,2.8176,,
external,direct_mdtest_10k,external,File creation,5,141.789,,
external,direct_mdtest_10k,external,File read,5,3685.2042,,
external,direct_mdtest_10k,external,File removal,5,1112.096,,
external,direct_mdtest_10k,external,File stat,5,6661.9178,,
external,direct_mdtest_10k,external,Tree creation,5,669.7812,,
external,direct_mdtest_10k,external,Tree removal,5,6.7948,,
