workload,storage,operation,ops_per_sec,latency_mean_ms,latency_p95_ms,latency_p99_ms
sprite_lfs_smallfile,native,create,171.641,34.236608,66.98664,208.813275
sprite_lfs_smallfile,native,read,330.286,23.272156,43.366176,63.189695
sprite_lfs_smallfile,native,stat,459.367,16.168686,30.718336,42.905975
sprite_lfs_smallfile,append_segments,create,96.224,82.570942,120.085034,148.656556
sprite_lfs_smallfile,append_segments,read,207.221,38.393475,65.981463,81.706371
sprite_lfs_smallfile,append_segments,stat,151742.826,0.005923,0.006042,0.008734
sprite_lfs_smallfile,sharded_directory,create,42.49,116.916705,429.129485,589.823441
sprite_lfs_smallfile,sharded_directory,read,306.62,25.853877,47.719114,67.629409
sprite_lfs_smallfile,sharded_directory,stat,157929.272,0.007005,0.005045,0.007138
sprite_lfs_smallfile,sharded_hash8,create,43.631,152.162286,476.330966,1340.635539
sprite_lfs_smallfile,sharded_hash8,read,316.579,25.020849,46.29944,63.846177
sprite_lfs_smallfile,sharded_hash8,stat,154940.064,0.00559,0.005153,0.00674
hotdirs_zipf,native,skewed_create,203.788,38.442891,64.277513,185.710769
hotdirs_zipf,native,skewed_stat,389.449,19.570168,31.46848,54.566419
hotdirs_zipf,append_segments,skewed_create,93.751,84.847227,121.174519,151.951931
hotdirs_zipf,append_segments,skewed_stat,156701.344,0.00628,0.004927,0.008053
hotdirs_zipf,sharded_directory,skewed_create,59.866,108.011029,192.895859,395.161428
hotdirs_zipf,sharded_directory,skewed_stat,152989.305,0.006654,0.00518,0.008154
hotdirs_zipf,sharded_hash8,skewed_create,44.967,165.363511,522.841686,3578.445625
hotdirs_zipf,sharded_hash8,skewed_stat,154197.482,0.007159,0.005195,0.008496
